ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
16,2015,9,5,CNTRL,SIN,1
9,2016,5,18,CNTRL,ELP,62
37,2015,12,18,CNTRL,CKG,12
10,2014,10,5,CNTRL,SIN,2
66,2017,12,18,CNTRL,CKG,35
8,2017,10,18,CNTRL,CKG,84
16,2016,11,18,CNTRL,CKG,131
8,2015,3,18,CNTRL,CKG,100
10,2017,10,18,CNTRL,KUB,29
12,2017,2,18,CNTRL,HKG,8
20,2017,5,18,CNTRL,CKG,62
39,2017,10,18,CNTRL,CKG,44
12,2017,3,18,CNTRL,CKG,129
28,2017,4,18,CNTRL,CKG,57
13,2014,8,18,CNTRL,CKG,67
36,2017,7,18,CNTRL,CKG,44
32,2016,11,17,CNTRL,ELP,2
15,2014,8,18,CNTRL,CKG,109
7,2016,12,18,CNTRL,CKG,81
10,2015,2,5,CNTRL,SDF,728
17,2015,3,18,CNTRL,CKG,102
9,2014,9,18,CNTRL,CKG,156
9,2017,5,18,CNTRL,CKG,227
18,2015,11,18,CNTRL,CKG,113
9,2015,4,17,CNTRL,SFO,13
8,2015,1,18,CNTRL,CKG,717
19,2014,9,18,CNTRL,KUB,10
10,2016,4,18,CNTRL,ELP,176
29,2016,10,18,CNTRL,CKG,32
10,2018,1,18,CNTRL,CKG,219
20,2016,1,18,CNTRL,CKG,61
12,2017,11,18,CNTRL,CKG,169
22,2015,12,18,CNTRL,CKG,87
10,2014,12,18,CNTRL,CKG,130
8,2017,11,18,CNTRL,CKG,231
11,2017,3,17,CNTRL,ELP,73
26,2016,7,18,CNTRL,CKG,50
10,2015,1,18,CNTRL,KUB,27
7,2015,6,18,CNTRL,CKG,168
67,2017,3,18,CNTRL,CKG,36
10,2015,3,18,CNTRL,CKG,106
7,2015,9,18,CNTRL,CKG,158
8,2015,7,18,CNTRL,CKG,162
15,2015,1,18,CNTRL,CKG,65
8,2016,8,18,CNTRL,CKG,151
16,2015,2,18,CNTRL,CKG,53
9,2017,7,18,CNTRL,CKG,125
7,2017,5,18,CNTRL,CKG,520
29,2015,11,17,CNTRL,HOU,1
11,2015,8,18,CNTRL,CKG,37
8,2017,1,17,CNTRL,ELP,35
15,2015,11,18,CNTRL,CKG,71
14,2017,1,18,CNTRL,CKG,99
13,2016,8,7,CNTRL,PEN,1
7,2015,4,18,CNTRL,CKG,281
12,2017,7,17,CNTRL,HOU,9
33,2017,6,18,CNTRL,CKG,72
10,2016,6,18,CNTRL,CKG,20
13,2014,9,17,CNTRL,HOU,3
10,2017,12,18,CNTRL,CKG,98
25,2016,1,17,CNTRL,SFO,4
14,2016,12,18,CNTRL,KUB,28
8,2015,9,18,CNTRL,KUB,102
48,2018,1,18,CNTRL,CKG,5
8,2014,9,17,CNTRL,PRG,11
183,2017,10,18,CNTRL,CKG,3
8,2014,9,7,CNTRL,SAN,606
9,2015,11,18,CNTRL,KUB,98
13,2016,4,18,CNTRL,KUB,29
29,2016,11,18,CNTRL,CKG,9
23,2017,4,18,CNTRL,CKG,196
20,2015,10,18,CNTRL,CKG,88
27,2016,8,18,CNTRL,CKG,13
7,2016,3,18,CNTRL,CKG,106
9,2015,10,18,CNTRL,CKG,43
17,2015,3,18,CNTRL,CKG,50
12,2016,1,18,CNTRL,CKG,71
10,2017,4,18,CNTRL,KUB,13
42,2017,7,18,CNTRL,CKG,60
19,2017,11,18,CNTRL,CKG,55
14,2015,5,18,CNTRL,CKG,34
8,2016,5,18,CNTRL,ELP,108
10,2015,12,18,CNTRL,KUB,31
7,2016,6,17,CNTRL,ELP,11
7,2014,12,18,CNTRL,CKG,338
13,2016,12,18,CNTRL,KUB,33
9,2016,8,18,CNTRL,CKG,147
12,2017,2,18,CNTRL,CKG,75
19,2016,8,18,CNTRL,CKG,121
7,2016,9,17,CNTRL,ELP,150
38,2017,11,18,CNTRL,CKG,43
22,2015,7,18,CNTRL,HKG,2
10,2016,7,18,CNTRL,CKG,95
15,2018,1,18,CNTRL,CKG,105
12,2014,12,18,CNTRL,KUB,59
11,2017,3,18,CNTRL,CKG,182
11,2016,6,18,CNTRL,CKG,143
9,2015,1,18,CNTRL,CKG,71
8,2015,3,7,CNTRL,PHX,507
21,2018,1,18,CNTRL,CKG,121
37,2015,9,18,CNTRL,CKG,5
8,2017,11,18,CNTRL,CKG,207
13,2016,11,18,CNTRL,CKG,96
7,2017,3,17,CNTRL,ELP,37
16,2016,5,18,CNTRL,CKG,44
41,2017,5,17,CNTRL,ELP,4
11,2015,3,18,CNTRL,SHA,2
23,2017,2,18,CNTRL,CKG,44
7,2014,9,18,CNTRL,ELP,348
14,2017,10,17,CNTRL,HOU,7
11,2015,4,18,CNTRL,CKG,56
18,2018,1,18,CNTRL,CKG,108
9,2018,2,5,CNTRL,SDF,611
27,2015,12,18,CNTRL,CKG,43
12,2015,8,18,CNTRL,KUB,65
10,2014,12,18,CNTRL,KUB,49
14,2014,9,18,CNTRL,CKG,144
15,2015,7,18,CNTRL,KUB,69
11,2016,11,18,CNTRL,CKG,91
30,2018,1,18,CNTRL,CKG,69
10,2017,4,8,CNTRL,SLC,77
10,2014,10,18,CNTRL,KUB,100
32,2017,11,18,CNTRL,HKG,1
17,2017,12,17,CNTRL,HOU,7
16,2017,11,18,CNTRL,CKG,23
9,2016,1,18,CNTRL,CKG,116
12,2018,2,18,CNTRL,CKG,86
13,2017,9,18,CNTRL,KUB,55
49,2016,6,18,CNTRL,CKG,4
7,2016,8,17,CNTRL,HOU,16
8,2015,2,18,CNTRL,KUB,3
7,2015,8,18,CNTRL,CKG,19842
30,2017,4,18,CNTRL,CKG,39
16,2014,10,18,CNTRL,CKG,8
19,2017,2,18,CNTRL,CKG,127
20,2015,2,18,CNTRL,CKG,76
10,2016,4,18,CNTRL,CKG,100
8,2016,8,18,CNTRL,KUB,9
49,2016,4,18,CNTRL,HKG,1
7,2014,10,18,CNTRL,CKG,249
7,2018,2,18,CNTRL,CKG,176
10,2014,11,18,CNTRL,CKG,87
10,2015,9,3,CNTRL,ONT,11
13,2014,10,18,CNTRL,CKG,67
7,2016,4,18,CNTRL,HKG,41
8,2017,12,18,CNTRL,CKG,205
82,2017,7,18,CNTRL,CKG,31
12,2015,9,18,CNTRL,CKG,52
11,2014,9,5,CNTRL,AMS,6
11,2016,4,18,CNTRL,KUB,28
17,2014,10,18,CNTRL,CKG,143
37,2015,10,18,CNTRL,CKG,32
49,2018,2,18,CNTRL,CKG,2
9,2015,1,18,CNTRL,KUB,34
19,2017,8,5,CNTRL,SIN,3
31,2017,11,18,CNTRL,CKG,61
9,2014,12,18,CNTRL,CKG,152
