ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
10,2016,5,18,CNTRL,KUB,10
8,2018,2,18,CNTRL,CKG,170
24,2017,11,18,CNTRL,CKG,79
10,2015,7,18,CNTRL,KUB,53
10,2017,5,18,CNTRL,CKG,121
7,2015,12,18,CNTRL,CKG,155
7,2016,5,7,CNTRL,PEN,1
39,2017,6,18,CNTRL,CKG,6
19,2015,3,18,CNTRL,CKG,125
11,2018,1,18,CNTRL,CKG,243
11,2015,4,5,CNTRL,AMS,5
10,2015,7,17,CNTRL,SFO,18
7,2015,4,5,CNTRL,SDF,595
160,2015,11,17,CNTRL,SFO,2
9,2017,5,5,CNTRL,SDF,7
8,2016,10,17,CNTRL,ELP,88
9,2016,12,18,CNTRL,CKG,116
7,2015,9,3,CNTRL,ONT,24
8,2014,12,5,CNTRL,AMS,6
19,2017,3,18,CNTRL,CKG,20
13,2015,7,18,CNTRL,KUB,12
9,2015,8,18,CNTRL,KUB,61
8,2015,2,8,CNTRL,ORD,4
9,2015,6,7,CNTRL,PEN,1
8,2016,2,5,CNTRL,SIN,4
7,2015,11,18,CNTRL,CKG,146
11,2016,10,18,CNTRL,KUB,3
10,2016,6,18,CNTRL,CKG,121
7,2017,8,5,CNTRL,SDF,494
15,2015,3,18,CNTRL,CKG,148
9,2014,11,3,CNTRL,ONT,11
17,2016,6,18,CNTRL,CKG,92
16,2014,9,18,CNTRL,CKG,107
16,2016,5,18,CNTRL,CKG,79
7,2017,4,18,CNTRL,CKG,221
10,2017,3,18,CNTRL,CKG,176
9,2017,6,17,CNTRL,ELP,201
7,2018,2,18,CNTRL,CKG,176
20,2016,1,18,CNTRL,CKG,61
9,2014,10,18,CNTRL,HKG,9
7,2016,8,18,CNTRL,KUB,27
7,2015,9,18,CNTRL,CKG,158
9,2015,4,18,CNTRL,KUB,63
22,2016,3,18,CNTRL,CKG,69
13,2016,5,18,CNTRL,CKG,129
8,2016,6,18,CNTRL,CKG,3990
8,2017,11,18,CNTRL,CKG,142
12,2015,6,18,CNTRL,CKG,105
25,2016,4,18,CNTRL,CKG,62
34,2016,3,18,CNTRL,CKG,25
9,2015,3,5,CNTRL,SHE,88
12,2017,4,18,CNTRL,CKG,86
10,2015,3,18,CNTRL,CKG,106
13,2015,12,18,CNTRL,CKG,113
17,2017,7,18,CNTRL,CKG,99
9,2016,3,18,CNTRL,CKG,150
7,2016,5,18,CNTRL,ELP,112
8,2014,9,5,CNTRL,SDF,2
10,2017,8,18,CNTRL,KUB,5
12,2016,7,5,CNTRL,AMS,3
8,2015,8,18,CNTRL,KUB,50
27,2016,9,18,CNTRL,CKG,41
9,2016,6,17,CNTRL,ELP,143
35,2017,4,17,CNTRL,HOU,4
12,2016,6,18,CNTRL,CKG,118
14,2015,10,18,CNTRL,CKG,33
15,2015,6,18,CNTRL,CKG,124
14,2014,9,17,CNTRL,HOU,44
11,2016,4,18,CNTRL,CKG,155
24,2015,4,18,CNTRL,CKG,68
9,2015,9,17,CNTRL,HOU,26
32,2015,7,18,CNTRL,CKG,14
9,2018,2,18,CNTRL,CKG,152
8,2015,9,18,CNTRL,CKG,174
12,2015,11,18,CNTRL,CKG,11
9,2015,1,18,CNTRL,KUB,34
26,2017,10,18,CNTRL,KUB,4
20,2017,6,18,CNTRL,CKG,78
54,2015,7,18,CNTRL,CKG,31
58,2017,6,18,CNTRL,CKG,36
8,2017,4,17,CNTRL,ELP,190
75,2017,5,18,CNTRL,CKG,5
15,2014,9,17,CNTRL,HKG,1
117,2015,7,17,CNTRL,SFO,2
31,2017,1,18,CNTRL,CKG,34
39,2015,2,18,CNTRL,CKG,4
28,2017,8,5,CNTRL,SIN,1
13,2017,7,18,CNTRL,KUB,27
7,2016,9,17,CNTRL,ELP,62
10,2014,9,18,CNTRL,KUB,4
13,2016,2,18,CNTRL,KUB,9
7,2016,5,18,CNTRL,CKG,138
7,2016,2,18,CNTRL,KUB,4
19,2014,10,17,CNTRL,HOU,11
17,2016,8,18,CNTRL,CKG,100
7,2016,9,18,CNTRL,CKG,625
17,2016,3,18,CNTRL,CKG,79
11,2015,3,18,CNTRL,SHA,2
16,2016,12,18,CNTRL,CKG,19
26,2016,1,18,CNTRL,CKG,43
19,2017,8,18,CNTRL,CKG,115
9,2017,6,7,CNTRL,YYZ,2
11,2014,10,18,CNTRL,CKG,117
24,2017,9,18,CNTRL,CKG,77
11,2017,6,18,CNTRL,CKG,235
10,2017,10,18,CNTRL,CKG,164
30,2016,11,18,CNTRL,KUB,4
12,2017,12,18,CNTRL,KUB,16
7,2017,9,18,CNTRL,CKG,161
7,2015,3,18,CNTRL,KUB,17
18,2015,5,18,CNTRL,CKG,66
14,2017,7,17,CNTRL,ELP,31
8,2017,6,17,CNTRL,ELP,79
7,2017,6,17,CNTRL,ELP,198
19,2017,3,18,CNTRL,CKG,79
10,2017,11,5,CNTRL,SIN,6
16,2017,7,18,CNTRL,CKG,84
15,2014,10,18,CNTRL,CKG,58
51,2015,9,17,CNTRL,HOU,7
47,2016,7,18,CNTRL,CKG,6
9,2017,9,3,CNTRL,ONT,1
32,2017,6,18,CNTRL,CKG,10
14,2017,1,17,CNTRL,ELP,68
77,2014,8,17,CNTRL,SFO,2
26,2015,1,18,CNTRL,CKG,15
16,2017,8,17,CNTRL,HOU,6
14,2017,5,17,CNTRL,HOU,31
7,2016,6,18,CNTRL,KUB,62
8,2014,9,5,CNTRL,AMS,5
16,2014,10,18,CNTRL,CKG,78
7,2015,10,7,CNTRL,PEN,2
12,2014,9,18,CNTRL,CKG,96
18,2017,1,18,CNTRL,KUB,29
7,2017,3,18,CNTRL,CKG,80
18,2017,6,18,CNTRL,CKG,97
27,2017,8,18,CNTRL,CKG,39
16,2017,3,17,CNTRL,ELP,18
17,2017,8,18,CNTRL,CKG,13
7,2016,7,18,CNTRL,TUL,22
9,2016,7,17,CNTRL,HOU,11
26,2015,4,18,CNTRL,CKG,31
14,2017,7,18,CNTRL,CKG,140
12,2017,3,18,CNTRL,KUB,42
31,2014,10,18,CNTRL,CKG,29
7,2015,1,3,CNTRL,ONT,2
8,2015,9,3,CNTRL,STL,13605
10,2016,12,18,CNTRL,KUB,39
46,2016,8,18,CNTRL,CKG,10
11,2014,12,18,CNTRL,KUB,28
7,2015,9,18,CNTRL,CKG,111
13,2015,6,5,CNTRL,SIN,2
11,2015,3,5,CNTRL,SDF,573
43,2018,1,18,CNTRL,CKG,72
7,2017,1,18,CNTRL,CKG,120
11,2015,3,18,CNTRL,KUB,64
31,2015,2,18,CNTRL,KUB,6
7,2017,10,18,CNTRL,CKG,183
18,2017,11,18,CNTRL,CKG,77
9,2016,6,17,CNTRL,ELP,49
9,2017,7,18,CNTRL,CKG,273
17,2014,10,18,CNTRL,CKG,70
66,2017,2,5,CNTRL,SHA,3
19,2015,3,18,CNTRL,CKG,57
16,2016,6,18,CNTRL,CKG,82
24,2014,9,17,CNTRL,HOU,11
7,2016,9,18,CNTRL,CKG,627
20,2016,6,18,CNTRL,CKG,62
18,2016,11,17,CNTRL,HOU,6
14,2017,10,18,CNTRL,CKG,122
50,2015,4,17,CNTRL,HOU,2
16,2017,7,18,CNTRL,CKG,94
10,2015,1,18,CNTRL,CKG,138
14,2016,12,18,CNTRL,CKG,18
11,2018,2,18,CNTRL,CKG,51
26,2017,10,18,CNTRL,CKG,13
15,2017,12,18,CNTRL,CKG,18
8,2015,12,18,CNTRL,CKG,94
70,2017,3,18,CNTRL,CKG,47
12,2015,3,3,CNTRL,ONT,15
7,2017,1,17,CNTRL,ELP,152
7,2017,4,17,CNTRL,ELP,231
38,2016,8,18,CNTRL,KUB,4
7,2017,6,18,CNTRL,CKG,524
38,2017,7,18,CNTRL,CKG,43
15,2017,7,17,CNTRL,ELP,20
18,2016,12,18,CNTRL,CKG,658
39,2017,3,17,CNTRL,HOU,4
7,2017,8,18,CNTRL,CKG,176
7,2015,2,18,CNTRL,KUB,94
13,2017,7,18,CNTRL,CKG,174
10,2015,6,18,CNTRL,CKG,123
21,2017,3,18,CNTRL,CKG,54
11,2016,4,18,CNTRL,ELP,216
11,2017,5,18,CNTRL,CKG,146
11,2018,2,18,CNTRL,CKG,111
11,2014,12,18,CNTRL,CKG,70
10,2015,5,18,CNTRL,CKG,604
15,2018,2,18,CNTRL,CKG,66
8,2015,8,7,CNTRL,YYZ,2
10,2017,5,18,CNTRL,CKG,150
7,2015,5,7,CNTRL,YYZ,4
8,2014,11,17,CNTRL,HOU,40
9,2015,10,18,CNTRL,CKG,92
7,2014,9,5,CNTRL,AMS,57
44,2017,3,18,CNTRL,CKG,15
19,2016,12,18,CNTRL,CKG,73
16,2016,4,9,CNTRL,SGF,4899
11,2017,9,18,CNTRL,CKG,126
14,2015,4,18,CNTRL,CKG,51
10,2018,1,18,CNTRL,CKG,150
7,2017,6,18,CNTRL,CKG,181
7,2016,1,7,CNTRL,SEA,320
39,2015,3,17,CNTRL,HOU,7
12,2016,12,18,CNTRL,CKG,86
8,2017,6,17,CNTRL,ELP,159
27,2017,9,18,CNTRL,CKG,62
25,2016,1,18,CNTRL,CKG,47
19,2014,10,18,CNTRL,KUB,12
8,2015,9,18,CNTRL,KUB,114
9,2015,2,18,CNTRL,KUB,67
21,2016,6,18,CNTRL,HKG,3
8,2015,3,18,CNTRL,CKG,260
9,2016,1,18,CNTRL,CKG,91
17,2016,11,5,CNTRL,AMS,2
