ShipmentCount,StandardWeightInKG
9,15
10,11
11,14462
17,4
7,35
7,49
8,24
9,11
9,55
22,14462
25,4
7,5291
7,4
9,20
10,11
16,15
33,4
7,4
7,2
8,7
8,11
10,24
10,44
19,4
7,15
7,20
7,31
8,1
10,11
22,4
7,49
9,25045
9,4
9,11
9,24
13,15
14,1960
16,7
8,15
10,11
8,4
8,18
9,9
12,13605
7,24
8,2
8,13605
10,11
7,3
7,20
7,24
8,9
8,15
10,4
11,2
11,4
14,13605
8,2
9,49
16,4
16,15
17,13605
7,2
7,20
7,24
8,37
8,97
9,2
9,9
9,33
10,11
14,15
18,4
20,13605
7,2
8,11
8,24
11,15
14,4
17,13605
8,4
8,9
18,2
18,13605
23,15
7,4
7,29
9,11
10,13605
12,15
14,14462
24,2
7,11
8,4
9,2
11,20
24,14462
7,2
12,4
17,14462
7,4
7,1093
8,882
8,11
9,4
8,4
8,7
11,11
7,20
8,4
9,4
10,11
14,7
7,2
8,7
11,4
12,11
12,15
13,9
7,4
7,11
7,15
7,24
10,2
10,20
7,2
7,9
8,7
8,35
8,49
9,40
11,15
11,44
12,24
15,4
16,11
17,20
19,7
7,2
8,4
8,7
12,4
9,15
9,49
9,1
7,1
9,1
7,4
13,1
7,1
8,2
7,4
9,1
9,1
7,10050
9,157
7,10650
7,39
7,10650
7,10500
7,1
9,1650
7,260
8,10650
11,1650
7,10
10,39
10,10050
7,10050
8,49
8,1650
9,1650
12,287
7,11
7,15
7,55
7,832
7,9
7,13
7,573
8,6
8,8
8,606
8,728
8,3
9,10
10,5
11,4
11,2
13,1500
13,1
15,3000
16,496
18,3
19,2
33,1
7,65
7,13206
7,7
7,9
7,106
7,1000
7,3000
8,8
8,14
8,46
8,18
8,728
8,2
8,3
10,5
10,2
10,2
11,6
12,496
13,606
14,4
16,1700
17,4
18,2
23,3
25,1
7,9
7,11
7,13
7,17
7,23
7,58
7,71
7,2
7,7
7,485
7,3
8,4
8,19
8,38
8,53
8,77
8,225
9,37
9,728
9,3000
10,6
10,595
10,2
11,8
11,4
12,5
12,7
12,1102
13,1
14,606
22,2
22,496
26,3
47,1
7,9
7,33
7,47
7,57
7,66
7,71
7,75
7,35
7,91
8,5
8,56
8,77
8,101
8,2
8,606
9,10
10,728
11,6
11,29
11,42
11,60
11,1
11,3
12,4
12,7
12,15
12,4
12,3000
13,2
13,2
15,3
18,496
26,1
7,4
7,20
7,48
