ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
24,2016,7,5,CNTRL,AMS,2
17,2016,11,18,CNTRL,CKG,90
9,2015,1,8,CNTRL,ORD,2
14,2014,12,18,CNTRL,CKG,145
11,2015,7,5,CNTRL,SDF,595
8,2015,4,5,CNTRL,SIN,2
7,2016,10,17,CNTRL,ELP,119
7,2016,8,18,CNTRL,KUB,27
25,2017,3,5,CNTRL,SIN,4
9,2014,11,7,CNTRL,YYZ,2
10,2017,12,5,CNTRL,SDF,492
7,2014,9,5,CNTRL,AMS,66
9,2015,9,10,CNTRL,LON,14
7,2017,2,17,CNTRL,ELP,256
32,2015,7,17,CNTRL,HOU,13
18,2014,11,5,CNTRL,AMS,2
13,2015,2,17,CNTRL,HOU,31
12,2017,8,17,CNTRL,ELP,18
44,2016,8,18,CNTRL,CKG,41
25,2017,1,5,CNTRL,SIN,2
40,2016,5,17,CNTRL,HOU,7
9,2015,6,3,CNTRL,ONT,9
7,2017,9,7,CNTRL,PHX,2138
9,2014,9,4,CNTRL,ATL,157
7,2016,11,18,CNTRL,CKG,245
7,2018,2,5,CNTRL,SHA,4
8,2016,1,7,CNTRL,PHX,4
10,2014,12,17,CNTRL,SFO,31
14,2017,2,17,CNTRL,ELP,13
14,2015,6,17,CNTRL,HOU,20
23,2016,10,7,CNTRL,YYZ,2
81,2018,2,18,CNTRL,CKG,72
9,2015,11,18,CNTRL,KUB,58
9,2016,7,17,CNTRL,ELP,49
7,2017,7,18,CNTRL,CKG,476
9,2015,2,17,CNTRL,HOU,231
14,2015,12,18,CNTRL,CKG,100
9,2016,6,17,CNTRL,ELP,143
19,2016,4,18,CNTRL,CKG,71
8,2017,6,3,CNTRL,MEM,2
48,2017,5,17,CNTRL,ELP,9
16,2017,7,17,CNTRL,HOU,12
11,2017,12,18,CNTRL,CKG,138
7,2015,7,7,CNTRL,YYZ,13
36,2016,6,18,CNTRL,CKG,40
9,2014,12,7,CNTRL,SAN,992
10,2018,2,5,CNTRL,SIN,4
10,2017,10,5,CNTRL,SHA,6
29,2017,8,17,CNTRL,ELP,11
8,2015,7,18,CNTRL,CKG,173
7,2014,11,7,CNTRL,MKC,7
30,2015,8,5,CNTRL,SIN,1
9,2016,8,8,CNTRL,ORD,154
7,2017,5,17,CNTRL,ELP,119
8,2014,10,5,CNTRL,AMS,53
26,2016,12,18,CNTRL,CKG,61
9,2015,3,18,CNTRL,KUB,11
19,2014,12,7,CNTRL,YYZ,18
7,2014,9,7,CNTRL,PEN,3
14,2017,10,5,CNTRL,SHA,4
7,2015,7,10,CNTRL,LON,14
70,2017,11,17,CNTRL,HOU,2
10,2015,1,18,CNTRL,CKG,30
78,2016,5,17,CNTRL,HOU,3
9,2016,8,7,CNTRL,CTU,10
9,2015,6,7,CNTRL,SIN,3
26,2017,7,18,CNTRL,CKG,97
8,2018,1,5,CNTRL,SIN,5
9,2015,3,17,CNTRL,HOU,29
7,2014,9,7,CNTRL,SAN,992
18,2015,8,17,CNTRL,HOU,20
31,2016,12,18,CNTRL,CKG,60
9,2016,7,18,CNTRL,CKG,109
16,2015,9,5,CNTRL,SIN,1
9,2015,12,5,CNTRL,SHE,96
17,2016,2,5,CNTRL,SIN,2
17,2017,5,7,CNTRL,PEN,1
9,2017,11,5,CNTRL,AMS,1
22,2014,12,17,CNTRL,HOU,31
22,2014,10,5,CNTRL,AMS,2
7,2017,8,5,CNTRL,KUB,39
7,2016,9,17,CNTRL,ELP,198
7,2017,1,17,CNTRL,ELP,207
8,2014,11,7,CNTRL,SIN,3
15,2018,2,17,CNTRL,HOU,6
10,2017,1,17,CNTRL,SFO,7
11,2014,11,5,CNTRL,AMS,6
21,2017,9,17,CNTRL,ELP,11
8,2015,5,5,CNTRL,SDF,595
53,2017,8,17,CNTRL,HOU,4
7,2014,12,5,CNTRL,SDF,13
8,2017,1,17,CNTRL,SIN,2
8,2015,3,5,CNTRL,AMS,15
56,2017,6,17,CNTRL,ELP,9
8,2016,8,3,CNTRL,MEM,4
7,2017,11,5,CNTRL,SHA,12
26,2017,3,18,CNTRL,CKG,78
9,2017,7,5,CNTRL,SHA,9
9,2016,11,17,CNTRL,HOU,31
11,2014,12,5,CNTRL,SIN,2
9,2016,12,18,CNTRL,CKG,215
8,2016,10,17,CNTRL,ELP,141
8,2016,1,18,CNTRL,CKG,107
8,2016,11,18,CNTRL,CKG,300
7,2016,3,18,CNTRL,CKG,152
9,2017,4,7,CNTRL,TPE,1
7,2015,4,18,CNTRL,CKG,171
16,2014,9,18,CNTRL,SHA,6
8,2015,3,7,CNTRL,PHX,4
7,2015,5,18,CNTRL,CKG,112
8,2015,10,17,CNTRL,HOU,86
