ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
9,2014,12,3,CNTRL,ONT,15
11,2014,12,3,CNTRL,STL,14462
17,2014,12,3,CNTRL,ONT,4
9,2014,11,3,CNTRL,ONT,55
25,2014,11,3,CNTRL,ONT,4
7,2014,10,3,CNTRL,ROM,5291
7,2014,10,3,CNTRL,SAC,4
10,2014,10,3,CNTRL,ONT,11
16,2014,10,3,CNTRL,ONT,15
7,2014,9,3,CNTRL,ATL,4
8,2014,9,3,CNTRL,ONT,7
10,2014,9,3,CNTRL,ONT,24
19,2014,9,3,CNTRL,ONT,4
7,2014,8,3,CNTRL,ONT,15
7,2014,8,3,CNTRL,ONT,20
8,2014,8,3,CNTRL,MIA,1
10,2014,8,3,CNTRL,ONT,11
7,2015,12,3,CNTRL,ONT,49
9,2015,12,3,CNTRL,MEM,4
9,2015,12,3,CNTRL,ONT,11
9,2015,12,3,CNTRL,ONT,24
13,2015,12,3,CNTRL,ONT,15
16,2015,12,3,CNTRL,ONT,7
10,2015,11,3,CNTRL,ONT,11
8,2015,10,3,CNTRL,ONT,4
8,2015,10,3,CNTRL,ONT,18
7,2015,9,3,CNTRL,ONT,24
8,2015,9,3,CNTRL,ONT,2
8,2015,9,3,CNTRL,STL,13605
7,2015,8,3,CNTRL,ONT,3
10,2015,8,3,CNTRL,MEM,4
11,2015,8,3,CNTRL,ONT,4
14,2015,8,3,CNTRL,STL,13605
9,2015,7,3,CNTRL,ONT,49
16,2015,7,3,CNTRL,ONT,4
16,2015,7,3,CNTRL,ONT,15
7,2015,6,3,CNTRL,ONT,20
8,2015,6,3,CNTRL,ONT,37
8,2015,6,3,CNTRL,ONT,97
9,2015,6,3,CNTRL,ONT,2
9,2015,6,3,CNTRL,ONT,9
9,2015,6,3,CNTRL,ONT,33
10,2015,6,3,CNTRL,ONT,11
14,2015,6,3,CNTRL,ONT,15
18,2015,6,3,CNTRL,ONT,4
20,2015,6,3,CNTRL,STL,13605
7,2015,5,3,CNTRL,ONT,2
8,2015,5,3,CNTRL,ONT,11
11,2015,5,3,CNTRL,ONT,15
17,2015,5,3,CNTRL,STL,13605
8,2015,4,3,CNTRL,MEM,4
8,2015,4,3,CNTRL,ONT,9
23,2015,4,3,CNTRL,ONT,15
7,2015,3,3,CNTRL,BOS,4
7,2015,3,3,CNTRL,ONT,29
9,2015,3,3,CNTRL,ONT,11
7,2015,2,3,CNTRL,ONT,11
24,2015,2,3,CNTRL,STL,14462
7,2015,1,3,CNTRL,ONT,2
12,2015,1,3,CNTRL,ONT,4
7,2016,12,3,CNTRL,MEM,4
7,2016,11,3,CNTRL,ATL,1093
8,2016,9,3,CNTRL,DFW,882
9,2016,9,3,CNTRL,MEM,4
11,2016,8,3,CNTRL,ONT,11
9,2016,7,3,CNTRL,MEM,4
10,2016,7,3,CNTRL,ONT,11
14,2016,7,3,CNTRL,ONT,7
7,2016,6,3,CNTRL,ONT,2
8,2016,6,3,CNTRL,ONT,7
11,2016,6,3,CNTRL,MEM,4
7,2016,5,3,CNTRL,ONT,11
