YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
2014,12,3,CNTRL,ONT,15
2014,12,3,CNTRL,STL,14462
2014,12,3,CNTRL,ONT,4
2014,11,3,CNTRL,ONT,55
2014,11,3,CNTRL,ONT,4
2014,10,3,CNTRL,ROM,5291
2014,10,3,CNTRL,SAC,4
2014,10,3,CNTRL,ONT,11
2014,10,3,CNTRL,ONT,15
2014,9,3,CNTRL,ATL,4
2014,9,3,CNTRL,ONT,7
2014,9,3,CNTRL,ONT,24
2014,9,3,CNTRL,ONT,4
2014,8,3,CNTRL,ONT,15
2014,8,3,CNTRL,ONT,20
2014,8,3,CNTRL,MIA,1
2014,8,3,CNTRL,ONT,11
2015,12,3,CNTRL,ONT,49
2015,12,3,CNTRL,MEM,4
2015,12,3,CNTRL,ONT,11
2015,12,3,CNTRL,ONT,24
2015,12,3,CNTRL,ONT,15
2015,12,3,CNTRL,ONT,7
2015,11,3,CNTRL,ONT,11
2015,10,3,CNTRL,ONT,4
2015,10,3,CNTRL,ONT,18
2015,9,3,CNTRL,ONT,24
2015,9,3,CNTRL,ONT,2
2015,9,3,CNTRL,STL,13605
2015,8,3,CNTRL,ONT,3
2015,8,3,CNTRL,MEM,4
2015,8,3,CNTRL,ONT,4
2015,8,3,CNTRL,STL,13605
2015,7,3,CNTRL,ONT,49
2015,7,3,CNTRL,ONT,4
2015,7,3,CNTRL,ONT,15
2015,6,3,CNTRL,ONT,20
2015,6,3,CNTRL,ONT,37
2015,6,3,CNTRL,ONT,97
2015,6,3,CNTRL,ONT,2
2015,6,3,CNTRL,ONT,9
2015,6,3,CNTRL,ONT,33
2015,6,3,CNTRL,ONT,11
2015,6,3,CNTRL,ONT,15
2015,6,3,CNTRL,ONT,4
2015,6,3,CNTRL,STL,13605
2015,5,3,CNTRL,ONT,2
2015,5,3,CNTRL,ONT,11
2015,5,3,CNTRL,ONT,15
2015,5,3,CNTRL,STL,13605
2015,4,3,CNTRL,MEM,4
2015,4,3,CNTRL,ONT,9
2015,4,3,CNTRL,ONT,15
2015,3,3,CNTRL,BOS,4
2015,3,3,CNTRL,ONT,29
2015,3,3,CNTRL,ONT,11
2015,2,3,CNTRL,ONT,11
2015,2,3,CNTRL,STL,14462
2015,1,3,CNTRL,ONT,2
2015,1,3,CNTRL,ONT,4
2016,12,3,CNTRL,MEM,4
2016,11,3,CNTRL,ATL,1093
2016,9,3,CNTRL,DFW,882
2016,9,3,CNTRL,MEM,4
2016,8,3,CNTRL,ONT,11
2016,7,3,CNTRL,MEM,4
2016,7,3,CNTRL,ONT,11
2016,7,3,CNTRL,ONT,7
2016,6,3,CNTRL,ONT,2
