MonthNumber,ShipmentCount
12,9
12,11
12,17
11,9
11,25
10,7
10,7
10,10
10,16
9,7
9,8
9,10
9,19
8,7
8,7
8,8
8,10
12,7
12,9
12,9
12,9
12,13
12,16
11,10
10,8
10,8
9,7
9,8
9,8
8,7
8,10
8,11
8,14
7,9
7,16
7,16
6,7
6,8
6,8
6,9
6,9
6,9
6,10
6,14
6,18
6,20
5,7
5,8
5,11
5,17
4,8
4,8
4,23
3,7
3,7
3,9
2,7
2,24
1,7
1,12
12,7
11,7
9,8
9,9
8,11
7,9
7,10
7,14
6,7
6,8
6,11
5,7
5,7
5,7
5,10
4,7
4,7
4,8
4,8
4,8
4,9
4,11
4,11
4,12
4,15
4,17
4,19
3,8
3,8
3,12
2,9
2,9
11,9
10,7
9,9
7,7
6,7
6,8
5,7
2,9
12,7
9,9
12,7
11,7
9,7
1,7
1,7
11,9
9,7
9,8
9,11
5,7
4,10
12,10
11,7
3,8
2,8
1,9
1,12
12,7
12,13
11,7
11,8
11,8
11,10
11,25
10,7
10,7
10,7
10,11
10,13
9,7
9,12
9,12
8,13
8,18
12,10
12,19
11,14
11,16
10,25
10,26
10,33
9,10
8,7
8,7
8,8
8,21
7,9
5,8
5,9
5,15
4,17
2,13
1,9
12,7
12,11
12,35
11,11
11,12
11,13
10,13
9,7
9,11
8,8
8,8
8,10
7,24
6,7
6,7
6,9
6,13
6,24
6,25
5,7
5,11
4,8
3,7
3,8
2,14
1,7
1,21
12,8
12,9
12,9
12,10
12,15
11,7
11,7
11,7
11,8
11,10
10,7
9,7
9,8
9,8
9,21
8,10
7,8
7,8
7,23
6,8
6,9
6,10
6,14
6,20
5,7
5,7
5,8
4,9
4,11
3,7
1,7
1,8
1,54
2,8
2,8
1,10
1,25
12,7
12,8
12,8
12,9
12,15
11,7
11,8
11,21
10,7
10,11
10,25
9,7
9,9
9,11
8,7
8,7
8,7
8,12
12,8
12,10
12,11
11,11
10,7
10,7
10,10
10,12
9,7
9,7
9,8
9,13
9,18
8,7
8,7
8,8
8,12
7,7
7,8
7,10
7,16
6,8
6,9
5,7
5,7
5,9
4,7
4,7
4,7
4,8
4,8
4,8
4,8
4,11
3,7
3,7
3,8
3,9
1,8
1,9
1,11
9,10
8,8
8,9
7,7
7,7
6,7
6,7
5,8
4,10
2,10
2,13
1,7
1,7
1,8
1,9
1,11
11,8
11,10
11,14
8,8
8,11
8,12
7,8
6,8
6,9
5,14
4,9
4,13
3,9
3,11
3,40
2,7
2,7
2,10
2,12
2,12
2,14
1,7
1,11
2,8
1,13
10,8
9,7
9,7
9,8
12,7
9,7
9,11
8,7
8,7
8,8
7,7
6,7
6,7
6,7
6,8
6,9
5,7
5,9
4,7
4,8
4,8
4,8
4,9
4,9
4,11
3,7
3,7
3,7
3,9
2,7
2,7
2,8
2,8
2,11
1,7
1,7
1,7
1,7
1,9
11,7
11,8
10,7
8,9
7,7
7,7
7,8
6,7
5,7
5,7
3,7
2,7
2,8
12,10
12,11
11,19
9,7
8,7
8,7
8,7
7,7
6,9
5,7
5,14
4,7
4,10
3,9
3,10
1,7
1,8
1,8
2,8
1,7
1,9
11,7
8,8
8,11
8,13
7,7
7,11
7,14
7,21
5,7
3,7
12,10
10,7
8,8
8,9
8,10
8,15
8,24
7,8
7,10
7,12
6,7
6,7
6,7
6,9
6,10
6,14
5,7
5,7
5,8
5,10
5,26
4,12
4,12
4,16
3,7
3,7
3,7
3,9
3,10
3,13
3,13
3,19
3,68
2,14
2,15
2,16
2,20
1,7
1,11
9,9
7,7
3,7
1,10
12,8
12,9
6,8
2,22
1,7
1,25
12,8
12,9
12,17
12,22
11,10
11,13
11,17
11,32
11,49
10,11
10,12
10,25
10,41
9,8
9,15
9,16
8,19
12,8
12,61
11,7
11,20
11,20
10,37
9,14
9,27
8,9
8,16
8,38
7,9
7,23
5,8
3,38
2,10
2,12
2,13
2,22
2,44
1,8
1,15
12,7
11,7
10,7
10,7
10,7
10,8
10,8
10,11
9,15
9,22
8,7
8,21
7,7
7,13
6,14
6,14
6,25
6,154
5,9
5,11
5,19
5,41
3,46
2,22
1,25
12,16
11,21
11,39
9,69
8,7
8,9
8,11
8,16
7,9
7,16
6,8
6,8
6,9
6,15
6,45
5,7
5,8
5,11
5,11
5,20
4,8
4,8
4,13
3,9
3,23
2,15
2,29
2,130
1,8
1,8
1,8
1,10
1,16
1,20
1,193
1,12
12,8
12,9
12,22
12,24
11,42
10,10
10,10
10,13
10,13
10,17
10,17
9,9
9,20
9,20
8,7
8,8
12,10
11,9
11,10
11,15
10,11
10,13
10,13
9,12
8,9
8,12
7,7
7,10
6,7
6,7
5,7
5,47
4,10
4,13
4,14
3,8
3,9
3,13
2,9
2,10
2,11
2,13
11,21
11,23
11,60
10,21
8,21
7,7
7,8
7,23
7,36
6,8
6,15
5,44
4,9
4,10
4,11
3,7
3,9
3,10
3,26
2,8
2,17
1,8
1,11
1,11
12,7
12,7
11,14
11,15
10,11
10,26
10,43
9,10
9,12
9,14
7,8
7,13
7,16
6,7
6,8
6,10
6,12
6,23
6,70
6,84
6,113
6,208
5,7
5,15
2,18
1,10
1,29
2,7
2,11
2,29
1,7
1,9
1,14
1,30
