ShipmentCount,StandardWeightInKG
9,15
11,14462
17,4
9,55
25,4
7,5291
7,4
10,11
16,15
7,4
8,7
10,24
19,4
7,15
7,20
8,1
10,11
7,49
9,4
9,11
9,24
13,15
16,7
10,11
8,4
8,18
7,24
8,2
8,13605
7,3
10,4
11,4
14,13605
9,49
16,4
16,15
7,20
8,37
8,97
9,2
9,9
9,33
10,11
14,15
18,4
20,13605
7,2
8,11
11,15
17,13605
8,4
8,9
23,15
7,4
7,29
9,11
7,11
24,14462
7,2
12,4
7,4
7,1093
8,882
9,4
11,11
9,4
10,11
14,7
7,2
8,7
11,4
7,11
7,15
7,24
10,20
7,2
7,9
8,7
8,35
8,49
9,40
11,15
11,44
12,24
15,4
17,20
19,7
8,4
8,7
12,4
9,15
9,49
9,1
7,1
9,1
7,4
7,1
8,2
7,4
9,1
7,10050
9,157
7,10650
7,39
7,10650
7,10500
7,1
9,1650
7,260
8,10650
11,1650
7,10
10,39
10,10050
7,10050
8,49
8,1650
9,1650
12,287
7,11
13,1500
7,13206
8,14
8,18
10,5
25,1
7,17
7,2
7,3
11,8
13,1
7,57
12,7
12,15
13,3
18,200
10,2
19,1
14,1
16,1
25,1
26,2
33,3
10,496
7,90
7,91
8,11
21,2
9,102
8,1500
9,4
15,1
17,2
13,92
9,8
7,240
11,2
35,3
11,333
12,337
13,2
13,485
7,3
11,485
8,1246
8,1268
10,1241
24,2
7,1232
7,1248
9,4
13,2
24,3
25,1
7,3
11,22
8,157
7,90
8,8
14,1
7,7
21,1
8,9
9,12
9,4
10,611
15,2
7,1
7,567
7,12
8,1
10,6
7,11
7,503
8,7
8,2
21,1
10,78
8,1
8,3
23,2
8,4
9,496
10,7
14,4
20,2
7,608
7,4
8,12
9,6
11,496
7,9
7,9
8,3000
54,3
8,2
8,12
10,3
25,2
7,17
8,3351
8,44
9,992
15,331
7,9
8,3
21,3351
7,1
11,9
25,2
7,3
9,2
11,9
7,4
7,728
7,794
12,4
8,11
10,2
11,22
11,2
7,9
7,2
10,3
12,7
7,2
7,1
8,661
13,7
18,2
7,9
7,26
8,4
12,1
7,13
8,11
10,4
16,331
8,507
9,1
7,1
7,6
9,106
7,9
7,49
7,198
8,7
8,106
8,518
8,6
11,507
7,2
7,4
8,55
9,331
8,243
9,4
11,2
10,1
8,4
9,10
7,2
7,9
7,10
7,4
8,2
10,1
10,4
13,9
7,276
7,68
8,6
9,9
11,2
8,6
10,4
14,0
8,1
11,1
12,2
8,2
8,9
9,2
14,9
9,4
13,9
9,2
11,1
40,2
7,2
7,18
10,4
12,2
12,2
14,1
7,2
11,2
8,1
13,1
8,157
7,150
7,176
8,165
7,265
7,152
11,198
7,159
7,176
8,194
7,2
7,2
7,157
7,212
8,154
9,176
7,441
9,150
7,243
8,146
8,220
8,238
9,198
9,212
11,152
7,154
7,320
7,324
9,150
7,7
7,146
8,4
8,163
11,2
7,154
7,159
7,176
7,331
9,2
7,198
8,159
7,300
9,154
7,150
7,364
8,159
7,154
7,154
7,163
7,179
7,165
8,265
10,110
11,77
19,77
7,176
7,152
7,165
7,212
7,408
9,77
7,4
14,77
7,287
10,77
9,75
10,77
7,159
8,276
8,44
8,370
7,77
9,154
7,14658
8,14465
11,10051
13,11342
7,8695
11,14658
14,1789
21,22520
7,14658
7,13965
10,9243
7,3283
8,12478
9,2586
10,12781
15,8573
24,8421
8,10848
10,12781
12,10909
7,9460
7,4662
7,12478
9,11540
10,10861
14,10860
7,10612
7,12478
8,1
10,10571
26,10860
12,15956
12,10860
16,4899
7,10612
7,8347
7,10051
9,13247
10,10488
13,9923
13,10332
19,10860
68,9974
14,3797
15,9226
16,10094
20,8347
7,3293
11,3234
9,14
7,14
7,14
10,14
8,98036
9,11023
8,2646
22,98037
7,92594
25,98037
8,44
9,40
17,24
22,31
10,13
13,11
17,18
32,7
49,4
11,13
12,35
25,33
41,7
8,49
15,1
16,33
19,9
8,5
61,4
7,4
20,18
20,12
37,4
14,1
27,15
9,57
16,15
38,2
9,57
23,1
8,2
38,13
10,7
12,29
13,3
22,11
44,13
8,3
15,110
7,26
7,99
7,2
7,4
7,119
8,141
8,27
11,64
15,57
22,6
7,267
21,6
7,126
13,66
14,77
14,10
25,5
154,1
9,187
11,234
19,60
41,5
46,2
22,18
25,4
16,6
21,7
39,3
69,2
7,14
9,170
11,62
16,46
9,15
16,99
8,99
8,2
9,68
15,20
45,4
7,163
8,24
11,44
11,57
20,6
8,24
8,31
13,75
9,176
23,51
15,10
29,51
130,1
8,73
8,212
8,2
10,7
16,187
20,10
193,1
12,2
8,97
9,152
22,51
24,35
42,6
10,110
10,126
13,67
13,123
17,34
17,47
9,97
20,28
20,35
7,63
8,33
10,4
9,104
10,77
15,621
11,80
13,8
13,79
12,3
9,7937
12,65
7,76
10,78
7,95
7,375
7,136
47,2
10,119
13,107
14,4
8,430
9,169
13,13
9,26
10,141
11,21
13,69
21,70
23,73
60,7
21,47
21,29
7,625
8,175
23,35
36,33
8,140
15,14
44,39
9,518
10,176
11,216
7,96
9,622
10,145
26,4
8,93
17,35
8,6
11,56
11,95
7,238
7,34
14,108
15,113
11,151
26,70
43,7
10,136
12,128
14,125
8,195
13,117
16,75
7,524
8,200
10,144
12,162
23,20
70,2
84,30
113,25
208,3
7,7
15,91
18,122
10,177
29,2
7,102
11,74
29,63
7,122
9,85
14,80
30,8
