ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,CustomStdWidth,CustomStdHeight,CustomStdLength
7,2014,8,5,CNTRL,SHE,3000,GT36,5,KG,KG,PEK,CN,PEK,SHE,CN,SHE,40,30,50
7,2014,8,7,CNTRL,SAN,331,MS,1,LB,LB,SEA,US,SEA,SAN,US,SAN,37,26,38
7,2014,8,7,CNTRL,SAN,794,MS,2,LB,LB,SEA,US,SEA,SAN,US,SAN,23,27,39
7,2014,8,17,CNTRL,HOU,9,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14
7,2014,8,17,CNTRL,SFO,4,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5
7,2014,8,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5
7,2014,8,17,CNTRL,SFO,7,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5
7,2014,8,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8,26,49
7,2014,8,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,8,18,CNTRL,CKG,2413,5589,10,KG,KG,BOG,CO,BOG,CKG,CN,CKG,1,1,1
7,2014,8,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,21,27,30
7,2014,8,18,CNTRL,KUB,78,94KZ,32,KG,KG,MKC,US,SGF,KUB,CN,KUB,1,1,1
7,2014,8,18,CNTRL,KUB,78,94KZ,32,KG,KG,MKC,US,SGF,KUB,CN,KUB,100,41,120
7,2014,8,18,CNTRL,SHA,4,94KZ,1,KG,KG,YYZ,CA,YYZ,SHA,CN,SHA,33,8,52
7,2014,8,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,1,1,1
7,2014,9,7,CNTRL,SAN,992,MS,3,LB,LB,SEA,US,SEA,SAN,US,SAN,37,26,38
7,2014,9,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14
7,2014,9,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,9,18,CNTRL,CKG,19,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,44,60
7,2014,9,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,9,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,43,100
7,2014,9,18,CNTRL,KUB,18,94KZ,10,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1
7,2014,10,5,CNTRL,HAM,225,GT36,1,KG,KG,JKT,ID,JKT,HAM,DE,HAM,88,166,155
7,2014,10,7,CNTRL,MDT,7,5553,1,LB,KG,PRG,CZ,PRG,MDT,US,ABE,10,3,15
7,2014,10,7,CNTRL,SAN,2513,MS,6,LB,LB,SAN,US,SAN,SAN,US,SAN,48,24,42
7,2014,10,17,CNTRL,HOU,11,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14
7,2014,10,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,10,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,10,18,CNTRL,CKG,17,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,43,60
7,2014,10,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,10,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,43,100
7,2014,10,18,CNTRL,CKG,36,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,44,100
7,2014,10,18,CNTRL,CKG,61,94KZ,20,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,10,18,CNTRL,CKG,605,94KZ,200,KG,KG,STL,US,STL,CKG,CN,CKG,1,1,1
7,2014,10,18,CNTRL,CKG,605,94KZ,200,KG,KG,STL,US,STL,CKG,CN,CKG,100,43,120
7,2014,10,18,CNTRL,CKG,605,94KZ,200,KG,KG,STL,US,STL,CKG,CN,CKG,100,101,120
7,2014,10,18,CNTRL,CKG,2734,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,83,120
7,2014,10,18,CNTRL,CKG,2734,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,117,120
7,2014,10,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,34.5,59.5
7,2014,10,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,56
7,2014,10,18,CNTRL,KUB,6,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1
7,2014,11,5,CNTRL,NUE,4853,GT36,53,KG,KG,PIT,US,PIT,NUE,DE,NUE,114,136,116
7,2014,11,7,CNTRL,SAN,661,MS,2,LB,LB,SEA,US,SEA,SAN,US,SAN,37,26,38
7,2014,11,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5
7,2014,11,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,29,47
7,2014,11,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,29,52
7,2014,11,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,30,51
7,2014,11,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,20,27,30
7,2014,11,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,60
7,2014,11,18,CNTRL,KUB,12,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,16,35,60
7,2014,11,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,1,1,1
7,2014,11,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,100,122,120
7,2014,12,7,CNTRL,SAN,3351,MS,8,LB,LB,SAN,US,SAN,SAN,US,SAN,48,24,42
7,2014,12,17,CNTRL,HKG,8102,55GX,10,LB,KG,HOU,US,HOU,HKG,HK,HKG,78,140,120
7,2014,12,17,CNTRL,HOU,7,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14
7,2014,12,17,CNTRL,HOU,9,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,11,11,14
7,2014,12,17,CNTRL,HOU,11,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14
7,2014,12,17,CNTRL,SFO,13,MS,2,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5
7,2014,12,17,CNTRL,SFO,31,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5
7,2014,12,18,CNTRL,CKG,4,94KZ,1,KG,KG,YVR,CA,YVR,CKG,CN,CKG,7,30,51
7,2014,12,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,30,56
7,2014,12,18,CNTRL,CKG,5,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,6,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,16,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,44,60
7,2014,12,18,CNTRL,CKG,37,94KZ,10,KG,KG,ATL,US,ATL,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,37,94KZ,10,KG,KG,ATL,US,ATL,CKG,CN,CKG,60,44,100
7,2014,12,18,CNTRL,CKG,62,94KZ,20,KG,KG,LAS,US,LAS,CKG,CN,CKG,1,1,1
