Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight
60000,7,2014,8,5,CNTRL,SHE,3000,GT36,5,KG,KG,PEK,CN,PEK,SHE,CN,SHE,40,30,50,CM,40,30,50
599045.5116,7,2014,8,7,CNTRL,SAN,331,MS,1,LB,LB,SEA,US,SEA,SAN,US,SAN,37,26,38,IN,93.98,66.04,96.52
396878.303,7,2014,8,7,CNTRL,SAN,794,MS,2,LB,LB,SEA,US,SEA,SAN,US,SAN,23,27,39,IN,58.42,68.58,99.06
33036.32102,7,2014,8,17,CNTRL,HOU,9,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
5161.92516,7,2014,8,17,CNTRL,SFO,4,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
5161.92516,7,2014,8,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
5161.92516,7,2014,8,17,CNTRL,SFO,7,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
10192,7,2014,8,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8,26,49,CM,8,26,49
1,7,2014,8,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2014,8,18,CNTRL,CKG,2413,5589,10,KG,KG,BOG,CO,BOG,CKG,CN,CKG,1,1,1,CM,1,1,1
17010,7,2014,8,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,21,27,30,CM,21,27,30
1,7,2014,8,18,CNTRL,KUB,78,94KZ,32,KG,KG,MKC,US,SGF,KUB,CN,KUB,1,1,1,CM,1,1,1
492000,7,2014,8,18,CNTRL,KUB,78,94KZ,32,KG,KG,MKC,US,SGF,KUB,CN,KUB,100,41,120,CM,100,41,120
13728,7,2014,8,18,CNTRL,SHA,4,94KZ,1,KG,KG,YYZ,CA,YYZ,SHA,CN,SHA,33,8,52,CM,33,8,52
1,7,2014,8,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,1,1,1,CM,1,1,1
599045.5116,7,2014,9,7,CNTRL,SAN,992,MS,3,LB,LB,SEA,US,SEA,SAN,US,SAN,37,26,38,IN,93.98,66.04,96.52
33036.32102,7,2014,9,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
5161.92516,7,2014,9,17,CNTRL,SFO,7,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
1,7,2014,9,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
132000,7,2014,9,18,CNTRL,CKG,19,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,44,60,CM,50,44,60
1,7,2014,9,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
258000,7,2014,9,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,43,100,CM,60,43,100
1,7,2014,9,18,CNTRL,KUB,18,94KZ,10,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
2264240,7,2014,10,5,CNTRL,HAM,225,GT36,1,KG,KG,JKT,ID,JKT,HAM,DE,HAM,88,166,155,CM,88,166,155
7374.1788,7,2014,10,7,CNTRL,MDT,7,5553,1,LB,KG,PRG,CZ,PRG,MDT,US,ABE,10,3,15,IN,25.4,7.62,38.1
792871.7046,7,2014,10,7,CNTRL,SAN,2513,MS,6,LB,LB,SAN,US,SAN,SAN,US,SAN,48,24,42,IN,121.92,60.96,106.68
33036.32102,7,2014,10,17,CNTRL,HOU,11,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
1,7,2014,10,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2014,10,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
129000,7,2014,10,18,CNTRL,CKG,17,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,43,60,CM,50,43,60
1,7,2014,10,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
258000,7,2014,10,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,43,100,CM,60,43,100
264000,7,2014,10,18,CNTRL,CKG,36,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,44,100,CM,60,44,100
1,7,2014,10,18,CNTRL,CKG,61,94KZ,20,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2014,10,18,CNTRL,CKG,605,94KZ,200,KG,KG,STL,US,STL,CKG,CN,CKG,1,1,1,CM,1,1,1
516000,7,2014,10,18,CNTRL,CKG,605,94KZ,200,KG,KG,STL,US,STL,CKG,CN,CKG,100,43,120,CM,100,43,120
1212000,7,2014,10,18,CNTRL,CKG,605,94KZ,200,KG,KG,STL,US,STL,CKG,CN,CKG,100,101,120,CM,100,101,120
996000,7,2014,10,18,CNTRL,CKG,2734,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,83,120,CM,100,83,120
1404000,7,2014,10,18,CNTRL,CKG,2734,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,117,120,CM,100,117,120
16422,7,2014,10,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,34.5,59.5,CM,8,34.5,59.5
15680,7,2014,10,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,56,CM,8,35,56
1,7,2014,10,18,CNTRL,KUB,6,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
1798464,7,2014,11,5,CNTRL,NUE,4853,GT36,53,KG,KG,PIT,US,PIT,NUE,DE,NUE,114,136,116,CM,114,136,116
599045.5116,7,2014,11,7,CNTRL,SAN,661,MS,2,LB,LB,SEA,US,SEA,SAN,US,SAN,37,26,38,IN,93.98,66.04,96.52
5161.92516,7,2014,11,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
9541,7,2014,11,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,29,47,CM,7,29,47
10556,7,2014,11,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,29,52,CM,7,29,52
22950,7,2014,11,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,30,51,CM,15,30,51
16200,7,2014,11,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,20,27,30,CM,20,27,30
16800,7,2014,11,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,60,CM,8,35,60
