Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight.1
27759.686419999998,8,2017,11,17,CNTRL,HOU,1,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,11.0,11.0,14.0,IN,27.94,27.94,35.56
552000.0,7,2015,9,18,CNTRL,CKG,61,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,100.0,46.0,120.0,CM,100.0,46.0,120.0
11776.0,9,2015,1,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8.0,32.0,46.0,CM,8.0,32.0,46.0
62926.32576,9,2015,7,17,CNTRL,HOU,13,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16.0,12.0,20.0,IN,40.64,30.48,50.8
1.0,15,2016,2,18,CNTRL,CKG,12,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
10192.0,16,2014,10,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8.0,26.0,49.0,CM,8.0,26.0,49.0
25245.0,7,2016,9,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15.0,33.0,51.0,CM,15.0,33.0,51.0
1.0,8,2015,7,18,CNTRL,CKG,35,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
65187.74059,14,2016,9,17,CNTRL,HOU,4,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17.0,13.0,18.0,IN,43.18,33.02,45.72
9541.0,11,2016,6,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,29.0,47.0,CM,7.0,29.0,47.0
33036.321019999996,7,2015,5,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12.0,12.0,14.0,IN,30.48,30.48,35.56
11781.0,9,2016,10,18,CNTRL,CKG,4,94KZ,1,KG,KG,YHZ,CA,YHZ,CKG,CN,CKG,7.0,33.0,51.0,CM,7.0,33.0,51.0
1.0,13,2015,5,18,CNTRL,KUB,10,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,26,2016,5,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
20445.0,14,2014,12,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15.0,29.0,47.0,CM,15.0,29.0,47.0
1.0,9,2017,1,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
9541.0,34,2014,10,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,29.0,47.0,CM,7.0,29.0,47.0
33036.321019999996,13,2016,1,17,CNTRL,HOU,7,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12.0,12.0,14.0,IN,30.48,30.48,35.56
1.0,18,2017,9,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
65187.74059,17,2016,12,17,CNTRL,HOU,3,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17.0,13.0,18.0,IN,43.18,33.02,45.72
442.450728,7,2016,7,17,CNTRL,ELP,51,MS,2,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,3.0,3.0,3.0,IN,7.62,7.62,7.62
1.0,14,2016,9,18,CNTRL,CKG,28,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
10710.0,7,2017,2,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,34.0,45.0,CM,7.0,34.0,45.0
1.0,8,2016,11,18,CNTRL,NKG,171,44CI,16,KG,KG,ONT,US,ONT,NKG,CN,WUH,1.0,1.0,1.0,CM,1.0,1.0,1.0
1447305.4919999999,8,2015,3,7,CNTRL,SAN,606,MS,1,LB,LB,SEA,US,SEA,SAN,US,SAN,40.0,46.0,48.0,IN,101.6,116.84,121.92
1.0,7,2015,5,18,CNTRL,CKG,66,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
16200.0,8,2017,4,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,20.0,27.0,30.0,CM,20.0,27.0,30.0
1.0,8,2015,1,18,CNTRL,CKG,36,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
576000.0,14,2015,4,18,CNTRL,CKG,73,94KZ,25,KG,KG,HNL,US,HNL,CKG,CN,CKG,100.0,48.0,120.0,CM,100.0,48.0,120.0
1.0,11,2016,3,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1702402.918,8,2015,5,3,CNTRL,PHL,18514,ECN,36,LB,KG,BRU,BE,BRU,PHL,US,PHL,42.0,51.0,48.5,IN,106.68,129.54,123.19
1321452.841,14,2015,3,3,CNTRL,STL,14462,ECN,40,LB,KG,BRU,BE,BRU,STL,US,STL,40.0,42.0,48.0,IN,101.6,106.68,121.92
0.0,8,2017,4,4,CNTRL,RTM,18280,OFN,168,KG,,SIN,SG,SIN,RTM,NL,AMS,0.0,0.0,0.0,CM,0.0,0.0,0.0
129000.0,8,2014,12,18,CNTRL,CKG,15,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50.0,43.0,60.0,CM,50.0,43.0,60.0
1.0,13,2017,10,18,CNTRL,CKG,25,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
62926.32576,9,2016,5,17,CNTRL,HOU,5,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,16.0,12.0,20.0,IN,40.64,30.48,50.8
