Diff_Time,Stop_Actual_Sequence_Num,Postal_Code,Street_Num,District_Num
0.006999969,13,79907,9411,12
0.056099892,26,54304,613,56
0.174699783,9,73128,6300,12
0.07449913,35,54660,224,56
0.101099968,19,77565,243,12
0.28469944,14,5602,282,36
0.0522995,34,35968,1906,44
0.13670063,30,72501,17,55
0.015500069,12,39466,230,44
0.048000336,13,23805,3330,32
0.007800102,1,37075,1020,44
0.026999474,25,33611,3801,40
0.159700394,23,54467,142,56
0.064499855,25,60164,75,46
0.072799683,23,15401,221,32
0.226399422,28,27105,402,45
0.052200317,22,75067,1081,12
0.031599998,32,64093,303,55
0.036399841,39,95661,1450,86
0.020600319,23,7095,869,20
0.002300262,35,25389,3000,32
0.038900375,42,19468,1836,33
0.038099289,25,21771,307,33
0.066399574,11,44120,16657,64
0.099699974,20,30214,141,45
0.058300018,73,91786,378,92
0.017000198,15,20782,3500,33
0.015000343,35,33411,512,40
0.055600166,16,62864,101,49
0.011099815,25,23061,6824,32
0.071100235,38,6010,123,36
0.119199753,23,14221,6703,36
0.064700127,17,31211,1473,45
0.035300255,43,72401,3000,55
0.114700317,21,30038,3054,45
0.081399918,30,85743,8260,95
0.07049942,11,40342,1004,49
0.030000687,38,2747,112,36
0.039999008,35,60402,6631,46
0.053899765,50,63401,3650,55
0.076700211,21,37854,19850,44
0.031700134,31,45459,2329,49
0.03979969,14,55811,5115,56
0.025300026,10,37075,1020,44
0.013599396,35,7005,308,20
0.061699867,20,77551,6228,12
0.018600464,21,91107,3401,92
0.132200241,30,46545,5656,49
0.033599854,31,91210,3216,92
0.062799454,24,27616,5260,45
0.067799568,48,10029,165,20
0.345000267,51,47401,2872,49
0.163099289,32,78504,7600,12
0.313899994,28,13790,1,36
0.098899841,26,19311,917,33
0.018899918,18,44221,396,64
0.055199623,42,20735,8871,33
0.167499542,18,2184,500,36
0.191400528,23,19401,44,33
0.054400444,45,40258,6801,49
0.014100075,15,77478,403,12
0.021399498,29,23455,4701,32
0.066100121,16,77095,15951,12
0.119699478,11,2920,286,36
0.171099663,19,85705,405,95
0.004099846,19,24073,636,32
0.054100037,17,91406,6800,92
0.008600235,25,15012,108,32
0.031100273,21,87121,111,95
0.065500259,41,37066,1025,44
0.052199364,30,95380,3060,86
0.006700516,27,17044,46,32
0.004199982,18,7470,1400,20
0.110499382,18,39564,3907,44
0.019500732,15,37664,2101,44
0.086299896,35,11740,741,20
0.048100471,27,89149,7950,92
0.038599968,48,95060,2115,86
0.071100235,36,19365,412,33
0.034999847,4,31503,2461,45
0.114199638,24,93551,39450,92
0.05300045,22,70114,4021,44
0.178100586,20,19702,724,33
0.04640007,27,60056,1026,46
0.10890007,46,6032,500,36
0.251399994,33,11204,6713,20
0.178599358,10,79601,1630,12
0.10779953,7,90807,4010,92
0.04279995,16,76033,1608,12
0.029700279,24,13502,756,36
0.0333004,33,26330,2430,32
0.062799454,23,46804,4110,49
0.463899612,2,3079,99,36
0.038299561,19,38555,22,44
0.046700478,28,50613,618,55
0.043100357,23,98166,126,76
0.002200127,18,90010,3183,92
0.270299911,19,27215,108,45
0.082799911,31,79072,1601,12
0.024699211,18,17331,415,32
