Diff_Time,Stop_Actual_Sequence_Num,Postal_Code,Street_Num,District_Num
0.045199394,28,33611,3801,40
0.083399773,24,92867,1715,92
0.011899948,38,47715,800,49
0.013899803,27,20782,3500,33
0.051599503,33,6770,799,36
0.115300179,14,24112,818,32
0.117199898,12,67205,2413,55
0.060299873,34,31211,1473,45
0.037799835,53,60914,2024,46
0.004199982,55,46545,5656,49
0.068099976,37,37075,1020,44
0.126999855,54,13820,5006,36
0.003300667,32,89511,13987,86
0.079799652,45,34684,33342,40
0.033400536,28,77096,11266,12
0.063300133,43,20735,8871,33
0.07559967,42,95382,2960,86
0.052799225,17,91977,8626,92
0.054800034,34,19311,917,33
0.015299797,17,28216,6801,45
0.008700371,31,13502,756,36
0.040299416,18,40216,3925,49
0.216400146,30,11204,6713,20
0.034999847,11,38555,22,44
0.020299911,17,19083,1305,33
0.444099426,43,47129,1305,49
0.062000275,21,78602,460,12
0.010499954,24,65270,2200,55
0.046699524,25,68526,8600,56
0.037499428,26,18951,895,33
0.108099937,39,75220,3450,12
0.021900177,8,90405,1910,92
0.019499779,28,85749,9085,95
0.014699936,32,14221,6703,36
0.022000313,41,48083,326,64
0.046899796,32,75149,503,12
0.028600693,35,75901,4206,12
0.058099747,29,70818,14455,44
0.019500732,31,50208,309,55
0.040899277,31,8080,415,33
0.106300354,53,84097,575,95
0.017000198,28,15065,64,32
0.001900673,12,21244,8067,33
0.055000305,30,2452,1019,36
0.004700661,28,94560,5885,86
0.009400368,48,76240,1501,12
0.039999962,32,30114,1552,45
0.029399872,34,16101,2519,32
0.016699791,21,19311,917,33
0.008399963,35,92025,200,92
0.05340004,12,83687,5681,76
0.023599625,30,15061,3942,32
0.063699722,18,78223,3800,12
0.070900917,28,35150,41176,44
0.020299911,14,10941,1,20
0.15719986,25,45251,10228,49
0.141399384,33,56007,2316,56
0.011899948,104,8028,721,33
0.00660038,39,6010,641,36
0.048000336,22,37701,1074,44
0.322000504,127,98433,2202,76
0.015799522,13,6111,2995,36
0.056900024,16,31313,755,45
0.016899109,12,76132,4800,12
0.048899651,7,35022,4933,44
0.145500183,35,89014,619,92
0.031700134,41,60706,4715,46
0.01720047,51,2122,518,36
0.019200325,29,47802,3401,49
0.032499313,22,6084,152,36
0.005599976,25,70785,28050,44
0.060299873,30,48346,5980,64
0.048600197,22,1701,400,36
0.007800102,65,95819,1420,86
0.064500809,22,94533,1350,86
0.255200386,43,14228,1593,36
0.03219986,28,71105,7460,44
0.007499695,147,12561,13,20
0.053299904,15,75033,12244,12
0.038300514,17,34714,513,40
0.055000305,23,22150,6575,33
0.028000832,23,87123,330,95
0.145299911,172,83854,710,76
0.046700478,14,48185,34790,64
0.043800354,90,60415,151,46
0.321700096,33,30038,3054,45
0.042499542,34,21061,6619,33
